Random seed, 39, training time, 1509.2252695560455, optimization time, 0
Random seed, 26, training time, 1583.9314727783203, optimization time, 0
Random seed, 28, training time, 1955.552963733673, optimization time, 0
Random seed, 1, training time, 2066.3696320056915, optimization time, 0
Random seed, 19, training time, 1990.8208334445953, optimization time, 0
Random seed, 9, training time, 2105.7021403312683, optimization time, 0
Random seed, 16, training time, 2117.0250022411346, optimization time, 0
Random seed, 17, training time, 2126.0728302001953, optimization time, 0
Random seed, 10, training time, 2164.2023203372955, optimization time, 0
Random seed, 5, training time, 2179.1259574890137, optimization time, 0
Random seed, 7, training time, 2205.698350429535, optimization time, 0
Random seed, 13, training time, 2212.121449947357, optimization time, 0
Random seed, 46, training time, 2326.4986600875854, optimization time, 0
Random seed, 43, training time, 2298.1651060581207, optimization time, 0
Random seed, 47, training time, 2266.905492067337, optimization time, 0
Random seed, 12, training time, 2396.19771528244, optimization time, 0
Random seed, 24, training time, 2332.9132833480835, optimization time, 0
Random seed, 34, training time, 2331.764568090439, optimization time, 0
Random seed, 6, training time, 2386.5627205371857, optimization time, 0
Random seed, 30, training time, 2300.301172018051, optimization time, 0
Random seed, 20, training time, 2360.4417362213135, optimization time, 0
Random seed, 37, training time, 2357.104294538498, optimization time, 0
Random seed, 23, training time, 2397.1995651721954, optimization time, 0
Random seed, 2, training time, 2477.072033882141, optimization time, 0
Random seed, 48, training time, 2426.3741676807404, optimization time, 0
Random seed, 36, training time, 2497.5383245944977, optimization time, 0
Random seed, 35, training time, 2566.1228578090668, optimization time, 0
Random seed, 14, training time, 2590.105595111847, optimization time, 0
Random seed, 50, training time, 2621.7525494098663, optimization time, 0
Random seed, 27, training time, 2658.883632183075, optimization time, 0
Random seed, 38, training time, 2698.3431646823883, optimization time, 0
Random seed, 3, training time, 2745.420886039734, optimization time, 0
Random seed, 40, training time, 2749.052081823349, optimization time, 0
Random seed, 8, training time, 2816.4254105091095, optimization time, 0
Random seed, 44, training time, 2805.5791766643524, optimization time, 0
Random seed, 25, training time, 2811.7016139030457, optimization time, 0
Random seed, 41, training time, 2831.399238348007, optimization time, 0
Random seed, 31, training time, 2837.275421142578, optimization time, 0
Random seed, 4, training time, 2958.553722381592, optimization time, 0
Random seed, 32, training time, 2940.2406725883484, optimization time, 0
Random seed, 18, training time, 3004.8666224479675, optimization time, 0
Random seed, 42, training time, 2957.344626903534, optimization time, 0
Random seed, 21, training time, 3032.480179309845, optimization time, 0
Random seed, 29, training time, 3018.6158571243286, optimization time, 0
Random seed, 11, training time, 3152.3216762542725, optimization time, 0
Random seed, 45, training time, 3036.4650735855103, optimization time, 0
Random seed, 49, training time, 3128.466162443161, optimization time, 0
Random seed, 15, training time, 3205.8040056228638, optimization time, 0
Random seed, 33, training time, 3257.4902760982513, optimization time, 0
Random seed, 22, training time, 4100.695671081543, optimization time, 0
