Random seed, 26,training loss, 7.883311653137207, training defu, -6.047077914646693, training opt, -5.466677052634103, validating loss, 9.138005924224853, validating defu, -6.017663478851318, validating opt, -5.506006813049316,testing loss, 9.045881843566894, testing defu, -6.081254243850708, testing opt, -5.499788236618042
Random seed, 11,training loss, 13.412434005737305, training defu, -5.451383263724191, training opt, -4.966945171356201, validating loss, 16.260704231262206, validating defu, -5.439458179473877, validating opt, -4.938287925720215,testing loss, 14.535579395294189, testing defu, -5.363251161575318, testing opt, -4.93570466041565
Random seed, 23,training loss, 11.258714294433593, training defu, -5.848651381901332, training opt, -5.3186735289437435, validating loss, 13.40098762512207, validating defu, -5.782150745391846, validating opt, -5.269290161132813,testing loss, 13.778511142730713, testing defu, -5.769005489349365, testing opt, -5.2147932052612305
Random seed, 14,training loss, 21.66447854723249, training defu, -5.911040605817522, training opt, -5.403290339878628, validating loss, 24.72452583312988, validating defu, -5.981281566619873, validating opt, -5.505286121368409,testing loss, 29.777003669738768, testing defu, -5.926708507537842, testing opt, -5.418100595474243
Random seed, 6,training loss, 10.318169021606446, training defu, -5.741605472564697, training opt, -5.221908364977155, validating loss, 9.638445091247558, validating defu, -5.6875873565673825, validating opt, -5.186641025543213,testing loss, 9.117715549468993, testing defu, -5.675252246856689, testing opt, -5.189417362213135
Random seed, 10,training loss, 31.973776354108537, training defu, -5.892864826747349, training opt, -5.416846779414586, validating loss, 30.722664642333985, validating defu, -5.8972272872924805, validating opt, -5.338915824890137,testing loss, 26.126548194885252, testing defu, -5.923325157165527, testing opt, -5.439568376541137
Random seed, 16,training loss, 44.21662826538086, training defu, -5.61904889515468, training opt, -5.1782229696001325, validating loss, 44.16949119567871, validating defu, -5.67307710647583, validating opt, -5.330355453491211,testing loss, 52.13774662017822, testing defu, -5.70997896194458, testing opt, -5.12939486503601
Random seed, 7,training loss, 11.885166467939104, training defu, -6.315946129390172, training opt, -5.7066549301147464, validating loss, 14.091529846191406, validating defu, -6.253234958648681, validating opt, -5.690139961242676,testing loss, 12.894785404205322, testing defu, -6.387233304977417, testing opt, -5.768314599990845
Random seed, 28,training loss, 15.172067315237863, training defu, -6.361847564152309, training opt, -5.630744157518659, validating loss, 15.274958229064941, validating defu, -6.278891468048096, validating opt, -5.553906345367432,testing loss, 14.56891622543335, testing defu, -6.684488439559937, testing opt, -6.051126480102539
Random seed, 12,training loss, 15.747348649161202, training defu, -6.0229325703212195, training opt, -5.619077573503767, validating loss, 17.064167976379395, validating defu, -5.991671180725097, validating opt, -5.5144868850708,testing loss, 17.671990489959718, testing defu, -5.957310056686401, testing opt, -5.407956647872925
Random seed, 13,training loss, 17.506991958618165, training defu, -5.826404094696045, training opt, -5.296343421936035, validating loss, 11.19050235748291, validating defu, -5.850263404846191, validating opt, -5.330061721801758,testing loss, 12.646950149536133, testing defu, -5.795503711700439, testing opt, -5.315302562713623
Random seed, 29,training loss, 9.680594512394496, training defu, -4.764345250810895, training opt, -4.281962639944894, validating loss, 11.846352195739746, validating defu, -4.702889251708984, validating opt, -4.160643482208252,testing loss, 12.497233963012695, testing defu, -4.92878794670105, testing opt, -4.336776065826416
Random seed, 9,training loss, 28.42982624598912, training defu, -4.684789208003453, training opt, -4.177084718431745, validating loss, 27.51316261291504, validating defu, -4.4747411727905275, validating opt, -4.089311933517456,testing loss, 31.06679744720459, testing defu, -4.692215013504028, testing opt, -4.141042447090149
Random seed, 8,training loss, 24.484178025381905, training defu, -5.014067649841309, training opt, -4.581590488978795, validating loss, 17.85580997467041, validating defu, -5.116772174835205, validating opt, -4.653755569458008,testing loss, 17.959024047851564, testing defu, -5.027137660980225, testing opt, -4.599558401107788
Random seed, 24,training loss, 26.98793457576207, training defu, -6.483164364950998, training opt, -6.0123038019452775, validating loss, 26.547819519042967, validating defu, -6.362368869781494, validating opt, -5.880941009521484,testing loss, 31.13832035064697, testing defu, -6.453644132614135, testing opt, -5.943951082229614
Random seed, 19,training loss, 15.304546274457659, training defu, -6.907678249904087, training opt, -6.361521938868932, validating loss, 19.592703437805177, validating defu, -6.95527286529541, validating opt, -6.399696350097656,testing loss, 15.998175239562988, testing defu, -6.881243562698364, testing opt, -6.315455055236816
Random seed, 27,training loss, 18.540781348092214, training defu, -5.910680552891322, training opt, -5.395268549237932, validating loss, 20.966932678222655, validating defu, -6.021602058410645, validating opt, -5.486850738525391,testing loss, 19.56028480529785, testing defu, -5.986501979827881, testing opt, -5.458074045181275
Random seed, 15,training loss, 43.08626801627023, training defu, -4.999546813964844, training opt, -4.658960437774658, validating loss, 41.311127471923825, validating defu, -5.102483081817627, validating opt, -4.840000629425049,testing loss, 42.21091842651367, testing defu, -4.943022537231445, testing opt, -4.631228637695313
Random seed, 4,training loss, 60.19461877005441, training defu, -5.7773995671953475, training opt, -5.309776047297887, validating loss, 61.346798706054685, validating defu, -5.6374767303466795, validating opt, -5.2169036865234375,testing loss, 67.47741584777832, testing defu, -5.632994556427002, testing opt, -5.187079429626465
Random seed, 18,training loss, 22.376072447640556, training defu, -3.9677067075456893, training opt, -3.801123094558716, validating loss, 26.52825050354004, validating defu, -3.83032603263855, validating opt, -3.581645441055298,testing loss, 19.412887191772462, testing defu, -4.110650968551636, testing opt, -3.860392618179321
Random seed, 5,training loss, inf, training defu, -4.8407563209533695, training opt, -4.4603797095162525, validating loss, inf, validating defu, -4.840336704254151, validating opt, -4.490545845031738,testing loss, inf, testing defu, -4.879246377944947, testing opt, -4.524874973297119
Random seed, 30,training loss, 8.038684708731514, training defu, -6.381066390446255, training opt, -5.871628202710833, validating loss, 8.713987445831298, validating defu, -6.481431484222412, validating opt, -5.9862141609191895,testing loss, 8.260910320281983, testing defu, -6.350760650634766, testing opt, -5.881977462768555
Random seed, 22,training loss, 18.814860698154995, training defu, -5.660670607430594, training opt, -5.211019679478237, validating loss, 15.072028923034669, validating defu, -5.590215969085693, validating opt, -5.079759025573731,testing loss, 14.518774127960205, testing defu, -5.67032265663147, testing opt, -5.19302773475647
Random seed, 21,training loss, 54.2775076184954, training defu, -5.065631267002651, training opt, -4.4467320782797675, validating loss, 30.362047576904295, validating defu, -5.020555400848389, validating opt, -4.466219425201416,testing loss, 33.309348487854, testing defu, -5.02554407119751, testing opt, -4.2885191440582275
Random seed, 3,training loss, 21.8340911592756, training defu, -4.182203020368304, training opt, -3.868613849367414, validating loss, 28.76231689453125, validating defu, -4.24241828918457, validating opt, -3.893161678314209,testing loss, 22.553354835510255, testing defu, -4.277149868011475, testing opt, -3.9583120107650758
Random seed, 2,training loss, 5.630364172799247, training defu, -5.387005887712751, training opt, -4.989053998674665, validating loss, 5.185469341278076, validating defu, -5.382426738739014, validating opt, -4.984841156005859,testing loss, 5.42826738357544, testing defu, -5.43394513130188, testing opt, -5.01626558303833
Random seed, 20,training loss, 49.65494155883789, training defu, -5.635481248583113, training opt, -5.109016268593924, validating loss, 51.12163314819336, validating defu, -5.516784381866455, validating opt, -5.0693282127380375,testing loss, 52.973354721069335, testing defu, -5.7637889862060545, testing opt, -5.212483978271484
Random seed, 1,training loss, 12.695655250549317, training defu, -6.184342888423375, training opt, -5.748230348314558, validating loss, 14.483525657653809, validating defu, -6.210871696472168, validating opt, -5.880072689056396,testing loss, 14.701637458801269, testing defu, -6.183329772949219, testing opt, -5.753045177459716
Random seed, 17,training loss, inf, training defu, -5.940607343401227, training opt, -5.463003144945417, validating loss, inf, validating defu, -5.854397106170654, validating opt, -5.392908763885498,testing loss, inf, testing defu, -5.943589353561402, testing opt, -5.470308685302735
Random seed, 25,training loss, 30.626071221487862, training defu, -5.342374978746687, training opt, -5.064025906154088, validating loss, 37.14389495849609, validating defu, -5.262236881256103, validating opt, -4.924186420440674,testing loss, 32.159156227111815, testing defu, -5.319607353210449, testing opt, -5.027580404281617
