Epoch, 9
Random seed, 16, forward time, 13.542925596237183, inference time, 62.86451482772827, qp time, 20.840847730636597, backward_time, 34.68354415893555
forward time,1.5069830417633057,1.5167028903961182,1.5281651020050049,1.5214409828186035,1.4452474117279053,1.4576740264892578,1.5239439010620117,1.5294816493988037,1.5132865905761719
inference time,11.29853081703186,8.417091369628906,7.599863052368164,7.591033458709717,6.442048788070679,6.140706300735474,5.060927629470825,5.19860053062439,5.115712881088257
qp time,2.249337673187256,2.471961498260498,2.2476038932800293,2.3009033203125,2.3564059734344482,2.4181015491485596,2.1532740592956543,2.189847230911255,2.4534125328063965
backward time,3.7762889862060547,3.955915689468384,3.805274724960327,3.822965145111084,3.85017728805542,3.9406018257141113,3.818804979324341,3.8373520374298096,3.8761634826660156
