Epoch, 8
Random seed, 0, forward time, 11.456803321838379, inference time, 73.55937027931213, qp time, 10.355674266815186, backward_time, 23.690237522125244
forward time,0,0,1.4983549118041992,1.3949670791625977,1.437225341796875,1.4042274951934814,1.398146629333496,1.4313583374023438,1.4415576457977295,1.4509658813476562
inference time,0,0,10.930924654006958,11.372886657714844,9.818880558013916,9.35637378692627,8.951688289642334,9.208334684371948,6.934487819671631,6.985793828964233
qp time,0,0,1.4302489757537842,1.3791213035583496,1.2843494415283203,1.2249698638916016,1.2071855068206787,1.2307653427124023,1.3525216579437256,1.2465121746063232
backward time,0,0,3.059347152709961,3.034914970397949,2.9478821754455566,2.9147303104400635,2.9484376907348633,2.9552805423736572,2.9403040409088135,2.88934063911438
