Random seed, 1
final loss, 0.09970829486846924, final defender utility, -2.6205155193805694final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968final loss, 1.6440586626529694, final defender utility, -3.269852077960968Random seed, 2
final loss, 0.06538602113723754, final defender utility, -2.409896957874298final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288final loss, 0.9604986310005188, final defender utility, -2.966741454601288Random seed, 3
final loss, 0.05304370224475861, final defender utility, -1.8182530015707017final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606final loss, 1.0888478636741639, final defender utility, -2.3635075271129606Random seed, 4
final loss, 0.06172739788889885, final defender utility, -1.7977961108088494final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645final loss, 1.5950281769037247, final defender utility, -2.6491455137729645Random seed, 5
final loss, 0.11181660592556, final defender utility, -1.4866245977580548final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432final loss, 3.2513512045145037, final defender utility, -2.127582994103432Random seed, 6
final loss, 0.09118266105651855, final defender utility, -2.2957123570144176final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103final loss, 1.2003262758255004, final defender utility, -2.7756810247898103Random seed, 7
final loss, 0.08368703126907348, final defender utility, -2.032700428366661final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294final loss, 1.9300641238689422, final defender utility, -2.877511578798294Random seed, 8
final loss, 0.08699374496936799, final defender utility, -2.290737372636795final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365final loss, 2.5942521691322327, final defender utility, -3.065050411224365Random seed, 9
final loss, 0.06814395785331726, final defender utility, -2.3601040303707124final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765final loss, 1.0904659569263457, final defender utility, -2.8277285397052765Random seed, 10
final loss, 0.10064646601676941, final defender utility, -2.2725383281707763final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057final loss, 1.54091534614563, final defender utility, -3.061021387577057Random seed, 11
final loss, 0.08133775591850281, final defender utility, -1.9991167828440666final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485final loss, 1.18340505361557, final defender utility, -2.6830097675323485Random seed, 12
