Epoch, 6
Random seed, 0, forward time, 5567.737948417664, qp time, 806.1569356918335, backward_time, 2059.8137810230255
forward time,0,0,839.9221909046173,885.8666932582855,861.7727808952332,839.1874392032623,967.2132241725922,1173.775619983673
qp time,0,0,108.53179717063904,138.48959827423096,137.9672451019287,132.0839056968689,133.82311296463013,155.26127648353577
backward time,0,0,320.6269507408142,347.2773792743683,343.41701579093933,335.547235250473,345.7709629535675,367.17423701286316
