Random seed, 49, training time, 12265.244675636292
Random seed, 43, training time, 12382.703140735626
Random seed, 1, training time, 13097.354461193085
Random seed, 21, training time, 12965.215880393982
Random seed, 28, training time, 13065.529104709625
Random seed, 32, training time, 13115.20653963089
Random seed, 2, training time, 13811.40095090866
Random seed, 34, training time, 13802.151238679886
Random seed, 38, training time, 14174.869234323502
Random seed, 40, training time, 13866.724488973618
Random seed, 33, training time, 14114.490450143814
Random seed, 50, training time, 14406.805658578873
Random seed, 31, training time, 14592.532805681229
Random seed, 17, training time, 14530.439758300781
Random seed, 23, training time, 14622.290633678436
Random seed, 20, training time, 14556.430432081223
Random seed, 12, training time, 14720.732286691666
Random seed, 44, training time, 15032.558501005173
Random seed, 47, training time, 15150.069639205933
Random seed, 42, training time, 15075.685144662857
Random seed, 25, training time, 15031.273188352585
Random seed, 46, training time, 15180.165518522263
Random seed, 14, training time, 15688.45605969429
Random seed, 45, training time, 15499.508446216583
Random seed, 5, training time, 15703.76805973053
Random seed, 29, training time, 15792.227782011032
Random seed, 35, training time, 15860.565314531326
Random seed, 24, training time, 15661.120159864426
Random seed, 48, training time, 15892.470695734024
Random seed, 6, training time, 16195.976989746094
Random seed, 16, training time, 16263.296485185623
Random seed, 19, training time, 16330.973419189453
Random seed, 7, training time, 16363.625480890274
Random seed, 39, training time, 16431.778264284134
Random seed, 18, training time, 16748.668931484222
Random seed, 4, training time, 17305.376014232635
Random seed, 36, training time, 17333.755305290222
Random seed, 26, training time, 16995.753538370132
Random seed, 27, training time, 17367.959446668625
Random seed, 10, training time, 18045.738782405853
Random seed, 30, training time, 17658.743671655655
Random seed, 15, training time, 18003.649980306625
Random seed, 22, training time, 18040.50612139702
Random seed, 37, training time, 17881.180682182312
Random seed, 3, training time, 19089.207612991333
Random seed, 11, training time, 21752.711895227432
