Random seed, 4, training time, 49.84346795082092, optimization time, 61.51009774208069
Random seed, 5, training time, 33.44232773780823, optimization time, 117.53933596611023
Random seed, 18, training time, 41.040271282196045, optimization time, 96.57967257499695
Random seed, 45, training time, 55.23629808425903, optimization time, 108.23368644714355
Random seed, 50, training time, 47.27854585647583, optimization time, 110.6486291885376
Random seed, 48, training time, 37.53634166717529, optimization time, 135.75839591026306
Random seed, 32, training time, 48.44842576980591, optimization time, 138.9011573791504
Random seed, 34, training time, 38.21547532081604, optimization time, 150.29615926742554
Random seed, 35, training time, 59.20753741264343, optimization time, 141.56953191757202
Random seed, 2, training time, 41.75722908973694, optimization time, 221.457946062088
Random seed, 22, training time, 53.48192834854126, optimization time, 191.14669156074524
Random seed, 28, training time, 72.41542100906372, optimization time, 209.7200927734375
Random seed, 26, training time, 39.900736570358276, optimization time, 233.1305058002472
Random seed, 7, training time, 61.62243294715881, optimization time, 255.38173413276672
Random seed, 29, training time, 37.24953889846802, optimization time, 237.59620475769043
Random seed, 30, training time, 35.37057280540466, optimization time, 239.24609279632568
Random seed, 43, training time, 39.61194372177124, optimization time, 238.32214045524597
Random seed, 46, training time, 39.99402832984924, optimization time, 239.14343333244324
Random seed, 33, training time, 38.535988330841064, optimization time, 245.85220003128052
Random seed, 39, training time, 37.07052755355835, optimization time, 247.66344046592712
Random seed, 10, training time, 43.90588164329529, optimization time, 274.25581073760986
Random seed, 40, training time, 46.864500284194946, optimization time, 252.133615732193
Random seed, 27, training time, 38.0338089466095, optimization time, 267.01346921920776
Random seed, 17, training time, 37.08191990852356, optimization time, 269.223486661911
Random seed, 1, training time, 45.64465665817261, optimization time, 266.92637944221497
Random seed, 19, training time, 41.171443939208984, optimization time, 265.57651710510254
Random seed, 6, training time, 50.147775411605835, optimization time, 297.4638714790344
Random seed, 12, training time, 46.95754313468933, optimization time, 295.29173469543457
Random seed, 21, training time, 42.316962480545044, optimization time, 269.1376781463623
Random seed, 31, training time, 44.939627170562744, optimization time, 267.9271321296692
Random seed, 41, training time, 41.9770188331604, optimization time, 275.9326629638672
Random seed, 47, training time, 44.251479148864746, optimization time, 282.6133511066437
Random seed, 49, training time, 45.8329803943634, optimization time, 283.8773512840271
Random seed, 20, training time, 33.317440032958984, optimization time, 304.98429131507874
Random seed, 15, training time, 47.77720642089844, optimization time, 302.84345054626465
Random seed, 42, training time, 41.26909065246582, optimization time, 313.3052589893341
Random seed, 9, training time, 48.773064374923706, optimization time, 353.84202551841736
Random seed, 23, training time, 50.05976223945618, optimization time, 326.85492420196533
Random seed, 25, training time, 38.458553075790405, optimization time, 337.61360812187195
Random seed, 44, training time, 46.02750897407532, optimization time, 334.2159013748169
Random seed, 24, training time, 41.76580834388733, optimization time, 338.4871370792389
Random seed, 13, training time, 36.407907009124756, optimization time, 351.69927763938904
Random seed, 38, training time, 63.497214555740356, optimization time, 334.02087235450745
Random seed, 16, training time, 45.11565279960632, optimization time, 356.95029377937317
Random seed, 8, training time, 46.29802346229553, optimization time, 436.46565651893616
Random seed, 36, training time, 51.06970191001892, optimization time, 410.31488156318665
Random seed, 3, training time, 43.73394560813904, optimization time, 421.4990508556366
Random seed, 11, training time, 46.05185580253601, optimization time, 454.07630825042725
Random seed, 37, training time, 38.968522787094116, optimization time, 486.10126662254333
Random seed, 14, training time, 46.962103843688965, optimization time, 479.27292227745056
