Random seed, 3, training time, 29204.499572992325
Random seed, 36, training time, 29415.307455301285
Random seed, 15, training time, 31627.82845878601
Random seed, 14, training time, 31882.550199508667
Random seed, 32, training time, 32928.54396057129
Random seed, 49, training time, 35778.41655087471
Random seed, 24, training time, 36114.74697852135
Random seed, 27, training time, 38604.16262102127
Random seed, 44, training time, 40459.40256023407
Random seed, 37, training time, 40310.83312368393
Random seed, 34, training time, 40382.48628950119
Random seed, 45, training time, 41577.11324596405
Random seed, 48, training time, 43245.70800065994
Random seed, 11, training time, 43088.149888277054
Random seed, 31, training time, 43462.23176217079
Random seed, 6, training time, 43475.422233343124
Random seed, 9, training time, 44014.315601587296
Random seed, 38, training time, 44942.91661596298
Random seed, 26, training time, 46169.63480877876
Random seed, 20, training time, 47759.429280519485
Random seed, 16, training time, 47854.21833705902
Random seed, 46, training time, 51273.93239879608
Random seed, 17, training time, 53159.527218580246
Random seed, 4, training time, 53038.110763311386
Random seed, 25, training time, 53021.364864349365
Random seed, 2, training time, 53431.355095386505
Random seed, 7, training time, 53828.182687044144
Random seed, 5, training time, 58373.92168736458
Random seed, 41, training time, 59238.81709551811
Random seed, 33, training time, 60404.99627327919
Random seed, 1, training time, 62082.63730621338
Random seed, 23, training time, 62878.32126760483
Random seed, 29, training time, 62821.491428375244
Random seed, 43, training time, 65489.09474015236
Random seed, 18, training time, 65533.23362159729
Random seed, 35, training time, 66666.75480175018
Random seed, 21, training time, 67141.09106779099
Random seed, 30, training time, 69311.87205410004
Random seed, 22, training time, 70873.72269463539
Random seed, 8, training time, 72036.90303134918
Random seed, 50, training time, 76954.74568796158
Random seed, 42, training time, 77203.75002479553
Random seed, 47, training time, 79333.03989815712
