Random seed, 10, training time, 14985.932392835617, optimization time, 0
Random seed, 1, training time, 22000.620106697083, optimization time, 0
Random seed, 3, training time, 23205.47484278679, optimization time, 0
Random seed, 2, training time, 24108.27654504776, optimization time, 0
Random seed, 8, training time, 24646.070776462555, optimization time, 0
Random seed, 6, training time, 24465.439584732056, optimization time, 0
Random seed, 4, training time, 25896.269905805588, optimization time, 0
Random seed, 7, training time, 26280.99664092064, optimization time, 0
Random seed, 9, training time, 28126.28270816803, optimization time, 0
Random seed, 5, training time, 31262.082005500793, optimization time, 0
