Random seed, 23, training time, 151.20678067207336
Random seed, 35, training time, 133.7126979827881
Random seed, 47, training time, 175.57474422454834
Random seed, 45, training time, 143.3347098827362
Random seed, 32, training time, 191.02456784248352
Random seed, 36, training time, 178.30889582633972
Random seed, 43, training time, 208.83976125717163
Random seed, 9, training time, 170.41751289367676
Random seed, 26, training time, 134.51887249946594
Random seed, 20, training time, 165.8759582042694
Random seed, 10, training time, 210.38120484352112
Random seed, 46, training time, 148.62075996398926
Random seed, 40, training time, 257.0799045562744
Random seed, 1, training time, 181.72275710105896
Random seed, 21, training time, 212.5269582271576
Random seed, 19, training time, 192.9621970653534
Random seed, 18, training time, 184.39939951896667
Random seed, 37, training time, 149.0088930130005
Random seed, 48, training time, 199.7250120639801
Random seed, 44, training time, 178.78993248939514
Random seed, 6, training time, 168.00122928619385
Random seed, 31, training time, 204.84124755859375
Random seed, 49, training time, 175.23019933700562
Random seed, 12, training time, 186.65436387062073
Random seed, 25, training time, 160.33422470092773
Random seed, 16, training time, 189.62286162376404
Random seed, 24, training time, 177.15534043312073
Random seed, 22, training time, 140.43127298355103
Random seed, 30, training time, 188.03167700767517
Random seed, 39, training time, 157.75227117538452
Random seed, 17, training time, 205.09249830245972
Random seed, 4, training time, 176.61450505256653
Random seed, 2, training time, 213.87510418891907
Random seed, 50, training time, 151.20756888389587
Random seed, 15, training time, 256.34306240081787
Random seed, 34, training time, 200.96997046470642
Random seed, 5, training time, 211.458509683609
Random seed, 3, training time, 190.9041063785553
Random seed, 38, training time, 231.2352578639984
Random seed, 7, training time, 306.52919030189514
Random seed, 33, training time, 211.20554423332214
Random seed, 11, training time, 240.412992477417
Random seed, 28, training time, 176.06466555595398
Random seed, 29, training time, 247.55285549163818
Random seed, 13, training time, 191.80524682998657
Random seed, 42, training time, 174.48073410987854
Random seed, 27, training time, 156.80803751945496
Random seed, 14, training time, 255.50672125816345
Random seed, 41, training time, 145.06064009666443
Random seed, 8, training time, 286.34373116493225
