Random seed, 10
Random seed, 9
Random seed, 8
Random seed, 2
Random seed, 1
nodes, 20.0, edges, 27.0, epochs, 100, time, 1562.3544914722443
Random seed, 3
nodes, 20.0, edges, 26.0, epochs, 100, time, 1736.8162274360657
Random seed, 4
nodes, 20.0, edges, 33.0, epochs, 100, time, 2114.8466379642487
Random seed, 5
nodes, 20.0, edges, 39.0, epochs, 100, time, 2262.295343875885
Random seed, 7
nodes, 20.0, edges, 38.0, epochs, 100, time, 2278.3117837905884
Random seed, 6
nodes, 20.0, edges, 33.0, epochs, 100, time, 2276.3254528045654
